brand,model,model_year,mileage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price
Hyundai,Palisade SEL,2021,34742,Gasoline,Automatic,Moonlight cloud,Gray,At least 1 accident or damage reported,Yes,38005
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,Automatic,Black,Black,None reported,Yes,15500
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,Automatic,Blue,Black,None reported,Yes,31000
BMW,740 iL,2001,242000,Gasoline,Automatic,Green,Green,None reported,Yes,7300
Lexus,RC 350 F Sport,2021,23436,Gasoline,Automatic,Black,Black,None reported,Yes,41927
Aston,Martin DBS Superleggera,2019,22770,Gasoline,Automatic,Silver,Black,None reported,Yes,184606
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,Automatic,Yellow,Black,None reported,Yes,53500
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000
Land,Rover LR4 HSE,2013,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990
Dodge,Challenger SXT,2013,61074,Gasoline,Automatic,Black,Gray,None reported,Yes,16800
Nissan,350Z Enthusiast,2003,74000,Gasoline,Manual,Purple,–,None reported,Yes,11000
Jaguar,F-TYPE R,2018,35250,Gasoline,Automatic,Green,Black,None reported,Yes,68750
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500
Ford,F-150 XLT,2023,2823,Gasoline,Automatic,Iconic silver metallic,Black,None reported,Yes,58504
Chevrolet,Suburban RST,2021,52000,Gasoline,Automatic,Blue,Black,None reported,Yes,61000
Hyundai,Elantra N Base,2022,11650,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300
Mercedes-benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,Automatic,Gray,Black,None reported,Yes,59995
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,Automatic,Gray,Black,None reported,Yes,25700
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,Automatic,Mythos black metallic,Black,None reported,Yes,21375
Mercedes-benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,Automatic,Silver,Black,None reported,Yes,48000
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,10900
Kia,Sorento SX,2011,171000,Gasoline,Automatic,Black,Black,None reported,Yes,5999
Lexus,LX 570 Base,2016,118700,Gasoline,Automatic,Black,Beige,None reported,Yes,46900
Jeep,New Compass Trailhawk,2017,119000,Gasoline,Automatic,Red,Black,None reported,Yes,15900
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,Automatic,Silver,Black,None reported,Yes,8999
Hyundai,Tucson SE,2007,16200,Gasoline,Automatic,Gold,Beige,None reported,Yes,8200
BMW,Z4 sDrive28i,2014,70000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,20000
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,79950
Dodge,Sprinter 2500,2007,189719,Diesel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14000
Audi,A7 Premium,2012,54000,Gasoline,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,36880
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,Automatic,Black,Jet black,None reported,Yes,43147
mini,Convertible John Cooper Works,2017,24280,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29000
Toyota,Avalon Touring,2016,89148,Gasoline,Automatic,Black,Black,None reported,Yes,17500
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,Automatic,White,Black,None reported,Yes,30990
Mercedes-benz,AMG C 63 S,2017,60000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500
Hummer,H2 Base,2005,110900,Gasoline,Automatic,Gray,Black,None reported,Yes,19500
Porsche,911 Carrera S,2013,39000,Gasoline,Automatic,Blue,Black,None reported,Yes,73000
Mercedes-benz,CLA-Class CLA 250,2016,120000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800
Chrysler,300 Touring,2009,134602,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500
Audi,A3 2.0T,2010,83500,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500
Ford,Mustang GT Premium,2014,37060,Gasoline,Manual,Black,Black,None reported,Yes,28500
Acura,RL Technology,2010,97700,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000
Mercedes-benz,GLK-Class GLK 350,2014,186000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,10000
Lexus,IS 350 Base,2014,104000,Gasoline,Automatic,Black,Black,None reported,Yes,21000
BMW,X4 M40i,2023,8500,Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,Automatic,White,Beige,None reported,Yes,46900
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000
